SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1902 32nd Ave W,Seattle,WA,98199,1200000,3,2.5,Magnolia,2390,3478,1990,5,502,,Active,,,http://www.redfin.com/WA/Seattle/1902-32nd-Ave-W-98199/home/126777,NWMLS,1589786,N,Y,47.6360824,-122.3985943
MLS Listing,,Single Family Residential,5531 Woodlawn Ave N,Seattle,WA,98103,1499000,4,3.0,Green Lake,2710,3000,1910,5,553,,Active,,,http://www.redfin.com/WA/Seattle/5531-Woodlawn-Ave-N-98103/home/304729,NWMLS,1590654,N,Y,47.669663,-122.3382394
MLS Listing,,Single Family Residential,522 N 84th St,Seattle,WA,98103,950000,5,2.5,Greenwood,2800,3300,1914,5,339,,Active,,,http://www.redfin.com/WA/Seattle/522-N-84th-St-98103/home/299984,NWMLS,1590342,N,Y,47.6900405,-122.3515593
MLS Listing,,Single Family Residential,6040 27th Ave NE,Seattle,WA,98115,1050000,3,1.75,Bryant,2106,3300,1926,5,499,,Active,,,http://www.redfin.com/WA/Seattle/6040-27th-Ave-NE-98115/home/312484,NWMLS,1587483,N,Y,47.6733369,-122.2982943
MLS Listing,,Single Family Residential,3401 Magnolia Blvd W,Seattle,WA,98199,2245000,4,3.5,Magnolia,3669,8658,2020,5,612,,Active,,,http://www.redfin.com/WA/Seattle/3401-Magnolia-Blvd-W-98199/home/126566,NWMLS,1588133,N,Y,47.6507083,-122.4145684
MLS Listing,,Single Family Residential,918 N 77th St,Seattle,WA,98103,1050000,4,2.0,Green Lake,2500,4500,1925,6,420,,Active,,,http://www.redfin.com/WA/Seattle/918-N-77th-St-98103/home/300810,NWMLS,1590545,N,Y,47.6849668,-122.3462657
MLS Listing,,Single Family Residential,2061 NE 73rd St,Seattle,WA,98115,899000,3,1.75,Ravenna,1900,4950,1948,6,473,,Active,,,http://www.redfin.com/WA/Seattle/2061-NE-73rd-St-98115/home/309883,NWMLS,1590244,N,Y,47.6810988,-122.3058332
MLS Listing,,Single Family Residential,6511 4th Ave NW,Seattle,WA,98117,995000,3,2.25,Phinney Ridge,1930,3750,1929,6,516,,Active,,,http://www.redfin.com/WA/Seattle/6511-4th-Ave-NW-98117/home/497771,NWMLS,1589646,N,Y,47.6763948,-122.3617506
MLS Listing,,Single Family Residential,629 38th Ave,Seattle,WA,98122,982500,2,1.25,Madrona,2054,4908,1920,6,478,,Active,,,http://www.redfin.com/WA/Seattle/629-38th-Ave-98122/home/141200,NWMLS,1579851,N,Y,47.6076861,-122.2850999
MLS Listing,,Single Family Residential,2233 12th Ave W,Seattle,WA,98119,1295995,4,2.5,Queen Anne,2980,3000,1990,6,435,,Active,,,http://www.redfin.com/WA/Seattle/2233-12th-Ave-W-98119/home/130028,NWMLS,1589628,N,Y,47.6396234,-122.3728702
MLS Listing,,Single Family Residential,3046 SW Manning St,Seattle,WA,98126,1175000,4,3.5,Belvidere,3340,4120,2008,6,352,,Active,,,http://www.redfin.com/WA/Seattle/3046-SW-Manning-St-98126/home/18662426,NWMLS,1590120,N,Y,47.5714638,-122.3726039
MLS Listing,,Single Family Residential,2806 NE 77th St,Seattle,WA,98115,1249000,3,2.5,Wedgwood,3170,8303,1964,6,394,,Active,,,http://www.redfin.com/WA/Seattle/2806-NE-77th-St-98115/home/318629,NWMLS,1590060,N,Y,47.6851168,-122.2969194
MLS Listing,,Single Family Residential,318 Lee St,Seattle,WA,98109,2350000,5,3.75,Queen Anne,2670,6373,1904,6,880,,Active,,,http://www.redfin.com/WA/Seattle/318-Lee-St-98109/home/133520,NWMLS,1590135,N,Y,47.6316526,-122.3504591
